"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4167","User can view the list of void reasons","chrome","2026-03-02","passed","2026-03-02","Void reasons management","void-reasons.feature.spec.js","",""
"","28803","Technician report summary display correctly","chrome","2026-03-02","passed","2026-03-02","Close Out report","close-out.feature.spec.js","",""
"","3202","Search Gift Card","chrome","2026-03-02","passed","2026-03-02","Gift Card Balance","gift-card.feature.spec.js","",""
"","10365","Add and delete block time slot","chrome","2026-03-02","passed","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","17163","Reopen ticket to add service and make payment Credit","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","36801","Turn update when voiding a ticket","chrome","2026-03-02","failed","2026-03-02","Turn details","turn-details.feature.spec.js","",""
"","4751","View the Paid Online Gift Card page","chrome","2026-03-02","passed","2026-03-02","Paid Online Gift Card","paid-online-gift-card.feature.spec.js","",""
"","17958","Change tech and split tip","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","28908","Turn update when changing technician","chrome","2026-03-02","passed","2026-03-02","Turn details","turn-details.feature.spec.js","",""
"","14184","Add the Open Discount percent for Discount ticket","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","9751","When clocking in then clocking out, the technician does not appear in the employee list","chrome","2026-03-02","passed","2026-03-02","Timesheet","timesheet.feature.spec.js","",""
"","3722","User can view the connection log page","chrome","2026-03-02","passed","2026-03-02","Connection Log","connection-log.feature.spec.js","",""
"","17311","Reopen ticket to remove payment Cash and instead of Credit","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","21456","Crud customer","chrome","2026-03-02","passed","2026-03-02","Customers management","customers.feature.spec.js","",""
"","8850","Add and then delete a Menu Category","chrome","2026-03-02","passed","2026-03-02","Menu Categories management","menu-categories.feature.spec.js","",""
"","19065","Reopen ticket to change technician and split tip","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","9985","Create a ticket with multiple technicians","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","41883","Cannot pay more than the Gift card Balance","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","8074","Verify the specific queue loads correctly employees","chrome","2026-03-02","passed","2026-03-02","Turn details","turn-details.feature.spec.js","",""
"","90031","Add and then delete a Void Reason","chrome","2026-03-02","broken","2026-03-02","Void reasons management","void-reasons.feature.spec.js","",""
"","20649","Remove Tax and make new payment","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","4300","User can view the activity log page","chrome","2026-03-02","passed","2026-03-02","Activity Log","promotion-log.feature.spec.js","",""
"","19640","Make appointment for Next Available Service and fill duration","chrome","2026-03-02","passed","2026-03-02","Check In","check-in.feature.spec.js","",""
"","26203","Verify that the balance is updated correctly when paying with a gift card","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","4144","User can view the run log page","chrome","2026-03-02","passed","2026-03-02","Run Log","run-log.feature.spec.js","",""
"","14712","Create a ticket for today, add tip, apply discount item and apply discount ticket","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","50507","Update GC balance when selling an add-on gift card and then voiding the ticket","chrome","2026-03-02","failed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","10419","Create a ticket and pay with Cash change","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","90102","Add and delete block time ALL DAY","chrome","2026-03-02","broken","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","4267","View the Appointment Color management page","chrome","2026-03-02","passed","2026-03-02","Appointment Color management","appointment-color.feature.spec.js","",""
